classname_modelid-view,classid,azimuth,elevation
lamp_108a5262552050dfa9370719b830fc2c-07,03636649,106.4,10.2
lamp_108a5262552050dfa9370719b830fc2c-08,03636649,103.3,45.5
lamp_108a5262552050dfa9370719b830fc2c-09,03636649,174.4,-1.5
lamp_10ba42fc70f16d7f41d86c17c15247b0-00,03636649,350.4,5.4
lamp_10ba42fc70f16d7f41d86c17c15247b0-01,03636649,237.2,21.6
lamp_10ba42fc70f16d7f41d86c17c15247b0-02,03636649,42.8,9.7
lamp_10ba42fc70f16d7f41d86c17c15247b0-03,03636649,265.7,20.9
lamp_10ba42fc70f16d7f41d86c17c15247b0-04,03636649,154.2,24.2
lamp_10ba42fc70f16d7f41d86c17c15247b0-05,03636649,72.1,-13.7
lamp_10ba42fc70f16d7f41d86c17c15247b0-06,03636649,320.7,42.8
lamp_10ba42fc70f16d7f41d86c17c15247b0-07,03636649,341.9,35.4
lamp_10ba42fc70f16d7f41d86c17c15247b0-08,03636649,58.6,12.3
lamp_10ba42fc70f16d7f41d86c17c15247b0-09,03636649,248.9,3.8
lamp_110b426397c707bdc9c869210ebfd6b0-00,03636649,133.0,43.0
lamp_110b426397c707bdc9c869210ebfd6b0-01,03636649,44.1,-8.1
lamp_110b426397c707bdc9c869210ebfd6b0-02,03636649,72.2,14.2
lamp_110b426397c707bdc9c869210ebfd6b0-03,03636649,193.5,-0.1
lamp_110b426397c707bdc9c869210ebfd6b0-04,03636649,313.1,13.2
lamp_110b426397c707bdc9c869210ebfd6b0-05,03636649,298.2,-4.2
lamp_110b426397c707bdc9c869210ebfd6b0-06,03636649,86.7,3.3
lamp_110b426397c707bdc9c869210ebfd6b0-07,03636649,127.5,3.3
lamp_110b426397c707bdc9c869210ebfd6b0-08,03636649,40.2,38.8
lamp_110b426397c707bdc9c869210ebfd6b0-09,03636649,333.6,20.1
lamp_1112f253e122dc8273111597f45b8227-00,03636649,276.7,-2.9
lamp_1112f253e122dc8273111597f45b8227-01,03636649,352.6,44.7
lamp_1112f253e122dc8273111597f45b8227-02,03636649,320.3,10.3
lamp_1112f253e122dc8273111597f45b8227-03,03636649,252.5,-19.5
lamp_1112f253e122dc8273111597f45b8227-04,03636649,230.8,-9.7
lamp_1112f253e122dc8273111597f45b8227-05,03636649,218.7,-6.7
lamp_1112f253e122dc8273111597f45b8227-06,03636649,94.8,41.3
lamp_1112f253e122dc8273111597f45b8227-07,03636649,59.7,33.9
lamp_1112f253e122dc8273111597f45b8227-08,03636649,269.8,8.2
lamp_1112f253e122dc8273111597f45b8227-09,03636649,168.9,-1.2
lamp_11194326770b1225d49b2e04785f8492-00,03636649,48.1,-16.4
lamp_11194326770b1225d49b2e04785f8492-01,03636649,298.9,14.6
lamp_11194326770b1225d49b2e04785f8492-02,03636649,270.9,-12.9
lamp_11194326770b1225d49b2e04785f8492-03,03636649,223.0,33.7
lamp_11194326770b1225d49b2e04785f8492-04,03636649,173.1,-5.6
lamp_11194326770b1225d49b2e04785f8492-05,03636649,203.2,-9.9
lamp_11194326770b1225d49b2e04785f8492-06,03636649,232.3,-16.3
lamp_11194326770b1225d49b2e04785f8492-07,03636649,111.9,14.0
lamp_11194326770b1225d49b2e04785f8492-08,03636649,335.9,46.3
lamp_11194326770b1225d49b2e04785f8492-09,03636649,126.4,-9.3
lamp_112058b3f8c94177d2dba55bc7acf0bc-00,03636649,196.0,15.0
lamp_112058b3f8c94177d2dba55bc7acf0bc-01,03636649,119.2,4.5
lamp_112058b3f8c94177d2dba55bc7acf0bc-02,03636649,145.1,38.5
lamp_112058b3f8c94177d2dba55bc7acf0bc-03,03636649,30.5,0.2
lamp_112058b3f8c94177d2dba55bc7acf0bc-04,03636649,149.7,2.7
lamp_112058b3f8c94177d2dba55bc7acf0bc-05,03636649,276.3,20.5
lamp_112058b3f8c94177d2dba55bc7acf0bc-06,03636649,177.8,37.5
lamp_112058b3f8c94177d2dba55bc7acf0bc-07,03636649,69.5,44.8
lamp_112058b3f8c94177d2dba55bc7acf0bc-08,03636649,191.4,-3.7
lamp_112058b3f8c94177d2dba55bc7acf0bc-09,03636649,358.8,22.3
lamp_1129a07c75f5a709cf004563556ddb36-00,03636649,163.9,38.2
lamp_1129a07c75f5a709cf004563556ddb36-01,03636649,62.4,28.8
lamp_1129a07c75f5a709cf004563556ddb36-02,03636649,53.6,31.5
lamp_1129a07c75f5a709cf004563556ddb36-03,03636649,113.0,33.5
lamp_1129a07c75f5a709cf004563556ddb36-04,03636649,248.0,24.8
lamp_1129a07c75f5a709cf004563556ddb36-05,03636649,51.8,49.4
lamp_1129a07c75f5a709cf004563556ddb36-06,03636649,187.7,-18.8
lamp_1129a07c75f5a709cf004563556ddb36-07,03636649,168.0,22.7
lamp_1129a07c75f5a709cf004563556ddb36-08,03636649,194.1,37.4
lamp_1129a07c75f5a709cf004563556ddb36-09,03636649,358.4,41.5
lamp_1165e8de3cee9f706314698551cd43b-00,03636649,329.1,44.9
lamp_1165e8de3cee9f706314698551cd43b-01,03636649,220.2,-4.7
lamp_1165e8de3cee9f706314698551cd43b-02,03636649,107.3,-14.4
lamp_1165e8de3cee9f706314698551cd43b-03,03636649,87.2,-7.3
lamp_1165e8de3cee9f706314698551cd43b-04,03636649,279.2,17.8
lamp_1165e8de3cee9f706314698551cd43b-05,03636649,67.7,-15.7
lamp_1165e8de3cee9f706314698551cd43b-06,03636649,220.9,37.4
lamp_1165e8de3cee9f706314698551cd43b-07,03636649,206.0,-13.0
lamp_1165e8de3cee9f706314698551cd43b-08,03636649,191.1,-17.3
lamp_1165e8de3cee9f706314698551cd43b-09,03636649,257.7,-0.1
lamp_11913615a1b732d435836c728d324152-00,03636649,101.6,12.8
lamp_11913615a1b732d435836c728d324152-01,03636649,300.8,47.4
lamp_11913615a1b732d435836c728d324152-02,03636649,333.8,-13.1
lamp_11913615a1b732d435836c728d324152-03,03636649,218.6,38.9
lamp_11913615a1b732d435836c728d324152-04,03636649,330.8,22.9
lamp_11913615a1b732d435836c728d324152-05,03636649,283.0,34.2
lamp_11913615a1b732d435836c728d324152-06,03636649,334.2,-18.3
lamp_11913615a1b732d435836c728d324152-07,03636649,334.3,32.7
lamp_11913615a1b732d435836c728d324152-08,03636649,126.1,38.4
lamp_11913615a1b732d435836c728d324152-09,03636649,174.5,-12.0
lamp_120f940d4c32c48df51f77a6d7299806-00,03636649,48.7,-6.4
lamp_120f940d4c32c48df51f77a6d7299806-01,03636649,102.4,-16.4
lamp_120f940d4c32c48df51f77a6d7299806-02,03636649,291.5,22.2
lamp_120f940d4c32c48df51f77a6d7299806-03,03636649,332.2,-18.8
lamp_120f940d4c32c48df51f77a6d7299806-04,03636649,235.1,-14.7
lamp_120f940d4c32c48df51f77a6d7299806-05,03636649,351.2,2.2
lamp_120f940d4c32c48df51f77a6d7299806-06,03636649,58.3,0.7
lamp_120f940d4c32c48df51f77a6d7299806-07,03636649,112.4,9.4
lamp_120f940d4c32c48df51f77a6d7299806-08,03636649,26.6,-6.8
lamp_120f940d4c32c48df51f77a6d7299806-09,03636649,158.8,-12.1
lamp_121286f843ab37f71735ea0e092a805a-00,03636649,256.1,24.3
lamp_121286f843ab37f71735ea0e092a805a-01,03636649,160.9,-1.4
lamp_121286f843ab37f71735ea0e092a805a-02,03636649,53.6,-10.5
lamp_121286f843ab37f71735ea0e092a805a-03,03636649,288.9,15.0
lamp_121286f843ab37f71735ea0e092a805a-04,03636649,270.2,-4.3
lamp_121286f843ab37f71735ea0e092a805a-05,03636649,287.4,44.6
lamp_121286f843ab37f71735ea0e092a805a-06,03636649,240.9,35.9
lamp_121286f843ab37f71735ea0e092a805a-07,03636649,298.7,12.6
lamp_121286f843ab37f71735ea0e092a805a-08,03636649,299.2,-4.6
lamp_121286f843ab37f71735ea0e092a805a-09,03636649,342.6,20.0
lamp_122fb7bfa09c184ca249f8489bc060dd-00,03636649,83.3,27.8
lamp_122fb7bfa09c184ca249f8489bc060dd-01,03636649,355.8,18.0
lamp_122fb7bfa09c184ca249f8489bc060dd-02,03636649,183.0,-15.4
lamp_122fb7bfa09c184ca249f8489bc060dd-03,03636649,123.5,0.7
lamp_122fb7bfa09c184ca249f8489bc060dd-04,03636649,354.8,14.6
lamp_122fb7bfa09c184ca249f8489bc060dd-05,03636649,302.0,30.0
lamp_122fb7bfa09c184ca249f8489bc060dd-06,03636649,161.2,9.9
lamp_122fb7bfa09c184ca249f8489bc060dd-07,03636649,16.7,5.7
lamp_122fb7bfa09c184ca249f8489bc060dd-08,03636649,256.6,49.7
lamp_122fb7bfa09c184ca249f8489bc060dd-09,03636649,245.6,6.3
lamp_12aa829de18f4e6ad5cb6d178687b980-00,03636649,25.1,43.4
lamp_12aa829de18f4e6ad5cb6d178687b980-01,03636649,123.6,49.8
lamp_12aa829de18f4e6ad5cb6d178687b980-02,03636649,355.2,22.7
lamp_12aa829de18f4e6ad5cb6d178687b980-03,03636649,91.7,6.8
lamp_12aa829de18f4e6ad5cb6d178687b980-04,03636649,155.6,6.1
lamp_12aa829de18f4e6ad5cb6d178687b980-05,03636649,123.5,2.2
lamp_12aa829de18f4e6ad5cb6d178687b980-06,03636649,218.8,39.3
lamp_12aa829de18f4e6ad5cb6d178687b980-07,03636649,115.3,12.2
lamp_12aa829de18f4e6ad5cb6d178687b980-08,03636649,242.9,-19.2
lamp_12aa829de18f4e6ad5cb6d178687b980-09,03636649,329.1,25.1
lamp_12c0b15c8ed8a3edb039d8689a74349-00,03636649,301.8,48.1
lamp_12c0b15c8ed8a3edb039d8689a74349-01,03636649,340.3,32.1
lamp_12c0b15c8ed8a3edb039d8689a74349-02,03636649,80.2,35.5
lamp_12c0b15c8ed8a3edb039d8689a74349-03,03636649,163.1,-15.3
lamp_12c0b15c8ed8a3edb039d8689a74349-04,03636649,114.8,-7.1
lamp_12c0b15c8ed8a3edb039d8689a74349-05,03636649,257.5,33.0
lamp_12c0b15c8ed8a3edb039d8689a74349-06,03636649,159.4,21.2
lamp_12c0b15c8ed8a3edb039d8689a74349-07,03636649,254.0,-2.9
lamp_12c0b15c8ed8a3edb039d8689a74349-08,03636649,359.0,47.3
lamp_12c0b15c8ed8a3edb039d8689a74349-09,03636649,183.3,27.2
lamp_12d03f06746eb49990c2e24416edfe5b-00,03636649,237.0,30.6
lamp_12d03f06746eb49990c2e24416edfe5b-01,03636649,164.0,7.8
lamp_12d03f06746eb49990c2e24416edfe5b-02,03636649,321.7,-15.2
lamp_12d03f06746eb49990c2e24416edfe5b-03,03636649,123.2,-10.5
lamp_12d03f06746eb49990c2e24416edfe5b-04,03636649,47.7,-0.5
lamp_12d03f06746eb49990c2e24416edfe5b-05,03636649,227.2,48.1
lamp_12d03f06746eb49990c2e24416edfe5b-06,03636649,280.0,34.4
lamp_12d03f06746eb49990c2e24416edfe5b-07,03636649,73.8,5.5
lamp_12d03f06746eb49990c2e24416edfe5b-08,03636649,127.4,15.3
lamp_12d03f06746eb49990c2e24416edfe5b-09,03636649,68.4,-18.7
lamp_12d44fd814bc9b40ec2a7a1f5fe7365d-00,03636649,340.0,7.4
lamp_12d44fd814bc9b40ec2a7a1f5fe7365d-01,03636649,197.3,7.0
lamp_12d44fd814bc9b40ec2a7a1f5fe7365d-02,03636649,208.7,-8.2
lamp_12d44fd814bc9b40ec2a7a1f5fe7365d-03,03636649,157.6,30.6
lamp_12d44fd814bc9b40ec2a7a1f5fe7365d-04,03636649,166.7,46.5
lamp_12d44fd814bc9b40ec2a7a1f5fe7365d-05,03636649,18.5,23.8
lamp_12d44fd814bc9b40ec2a7a1f5fe7365d-06,03636649,158.3,-15.6
lamp_12d44fd814bc9b40ec2a7a1f5fe7365d-07,03636649,76.0,-0.5
lamp_12d44fd814bc9b40ec2a7a1f5fe7365d-08,03636649,228.7,-19.7
lamp_12d44fd814bc9b40ec2a7a1f5fe7365d-09,03636649,280.8,-8.6
lamp_12dd2b962777328551014c684c004c28-00,03636649,288.4,11.5
lamp_12dd2b962777328551014c684c004c28-01,03636649,32.5,14.7
lamp_12dd2b962777328551014c684c004c28-02,03636649,278.4,4.6
lamp_12dd2b962777328551014c684c004c28-03,03636649,258.7,9.6
lamp_12dd2b962777328551014c684c004c28-04,03636649,294.0,35.0
lamp_12dd2b962777328551014c684c004c28-05,03636649,334.0,4.4
lamp_12dd2b962777328551014c684c004c28-06,03636649,342.1,27.3
lamp_12dd2b962777328551014c684c004c28-07,03636649,289.0,28.1
lamp_12dd2b962777328551014c684c004c28-08,03636649,356.1,-11.8
lamp_12dd2b962777328551014c684c004c28-09,03636649,294.8,-10.6
lamp_12e8d8176f2bd111978e8f21c8f49a92-00,03636649,278.0,12.3
lamp_12e8d8176f2bd111978e8f21c8f49a92-01,03636649,299.1,10.5
lamp_12e8d8176f2bd111978e8f21c8f49a92-02,03636649,78.3,1.0
lamp_12e8d8176f2bd111978e8f21c8f49a92-03,03636649,148.5,20.8
lamp_12e8d8176f2bd111978e8f21c8f49a92-04,03636649,173.0,-13.7
lamp_12e8d8176f2bd111978e8f21c8f49a92-05,03636649,183.0,44.8
lamp_12e8d8176f2bd111978e8f21c8f49a92-06,03636649,22.7,41.5
lamp_12e8d8176f2bd111978e8f21c8f49a92-07,03636649,157.2,-8.4
lamp_12e8d8176f2bd111978e8f21c8f49a92-08,03636649,27.1,-12.4
lamp_12e8d8176f2bd111978e8f21c8f49a92-09,03636649,83.2,-1.8
lamp_13a20b16bb59fdc712e1ea5343ce0273-00,03636649,194.4,31.8
lamp_13a20b16bb59fdc712e1ea5343ce0273-01,03636649,349.6,21.9
lamp_13a20b16bb59fdc712e1ea5343ce0273-02,03636649,132.6,4.4
lamp_13a20b16bb59fdc712e1ea5343ce0273-03,03636649,20.7,11.2
lamp_13a20b16bb59fdc712e1ea5343ce0273-04,03636649,243.8,1.3
lamp_13a20b16bb59fdc712e1ea5343ce0273-05,03636649,21.7,11.6
lamp_13a20b16bb59fdc712e1ea5343ce0273-06,03636649,294.7,46.2
lamp_13a20b16bb59fdc712e1ea5343ce0273-07,03636649,56.6,-13.5
lamp_13a20b16bb59fdc712e1ea5343ce0273-08,03636649,229.5,29.4
lamp_13a20b16bb59fdc712e1ea5343ce0273-09,03636649,153.4,-14.7
lamp_13b365ef4887f5d388a942de43574033-00,03636649,15.3,19.2
lamp_13b365ef4887f5d388a942de43574033-01,03636649,185.4,-13.5
lamp_13b365ef4887f5d388a942de43574033-02,03636649,288.0,12.6
lamp_13b365ef4887f5d388a942de43574033-03,03636649,356.6,47.7
lamp_13b365ef4887f5d388a942de43574033-04,03636649,46.0,24.6
lamp_13b365ef4887f5d388a942de43574033-05,03636649,23.5,-12.9
lamp_13b365ef4887f5d388a942de43574033-06,03636649,22.1,5.0
lamp_13b365ef4887f5d388a942de43574033-07,03636649,153.0,26.9
lamp_13b365ef4887f5d388a942de43574033-08,03636649,180.4,26.0
lamp_13b365ef4887f5d388a942de43574033-09,03636649,284.9,-7.8
lamp_13ba3fbe8fbc53f3ef3a2c64cef919d0-00,03636649,37.6,49.8
lamp_13ba3fbe8fbc53f3ef3a2c64cef919d0-01,03636649,337.3,1.7
lamp_13ba3fbe8fbc53f3ef3a2c64cef919d0-02,03636649,1.5,36.3
lamp_13ba3fbe8fbc53f3ef3a2c64cef919d0-03,03636649,212.4,-11.3
lamp_13ba3fbe8fbc53f3ef3a2c64cef919d0-04,03636649,184.0,14.6
lamp_13ba3fbe8fbc53f3ef3a2c64cef919d0-05,03636649,118.8,8.4
lamp_13ba3fbe8fbc53f3ef3a2c64cef919d0-06,03636649,15.0,-15.5
lamp_13ba3fbe8fbc53f3ef3a2c64cef919d0-07,03636649,324.1,42.1
lamp_13ba3fbe8fbc53f3ef3a2c64cef919d0-08,03636649,192.1,13.4
lamp_13ba3fbe8fbc53f3ef3a2c64cef919d0-09,03636649,217.0,-15.9
lamp_13badfc11837c16cc01e0156f398b4d2-00,03636649,18.1,17.7
lamp_13badfc11837c16cc01e0156f398b4d2-01,03636649,36.5,28.0
lamp_13badfc11837c16cc01e0156f398b4d2-02,03636649,140.2,7.5
lamp_13badfc11837c16cc01e0156f398b4d2-03,03636649,266.2,27.1
lamp_13badfc11837c16cc01e0156f398b4d2-04,03636649,208.9,-13.8
lamp_13badfc11837c16cc01e0156f398b4d2-05,03636649,338.1,24.2
lamp_13badfc11837c16cc01e0156f398b4d2-06,03636649,123.0,10.9
lamp_13badfc11837c16cc01e0156f398b4d2-07,03636649,88.2,5.4
lamp_13badfc11837c16cc01e0156f398b4d2-08,03636649,311.8,31.7
lamp_13badfc11837c16cc01e0156f398b4d2-09,03636649,353.3,14.5
lamp_13c127aad3fc8e6af51fa0238791f5dc-00,03636649,249.3,6.2
lamp_13c127aad3fc8e6af51fa0238791f5dc-01,03636649,269.7,27.6
lamp_13c127aad3fc8e6af51fa0238791f5dc-02,03636649,269.6,25.1
lamp_13c127aad3fc8e6af51fa0238791f5dc-03,03636649,331.5,10.4
lamp_13c127aad3fc8e6af51fa0238791f5dc-04,03636649,62.3,4.1
lamp_13c127aad3fc8e6af51fa0238791f5dc-05,03636649,211.2,-2.8
lamp_13c127aad3fc8e6af51fa0238791f5dc-06,03636649,97.3,49.5
lamp_13c127aad3fc8e6af51fa0238791f5dc-07,03636649,76.0,25.0
lamp_13c127aad3fc8e6af51fa0238791f5dc-08,03636649,104.5,-4.9
lamp_13c127aad3fc8e6af51fa0238791f5dc-09,03636649,352.7,19.3
lamp_13c361b7b046fe9f35b0d1c9f81f0b6c-00,03636649,170.1,1.7
lamp_13c361b7b046fe9f35b0d1c9f81f0b6c-01,03636649,238.2,-13.0
lamp_13c361b7b046fe9f35b0d1c9f81f0b6c-02,03636649,64.9,-10.3
lamp_13c361b7b046fe9f35b0d1c9f81f0b6c-03,03636649,56.1,24.3
lamp_13c361b7b046fe9f35b0d1c9f81f0b6c-04,03636649,77.1,1.8
lamp_13c361b7b046fe9f35b0d1c9f81f0b6c-05,03636649,130.7,8.1
lamp_13c361b7b046fe9f35b0d1c9f81f0b6c-06,03636649,129.1,5.0
lamp_13c361b7b046fe9f35b0d1c9f81f0b6c-07,03636649,282.2,-14.5
lamp_13c361b7b046fe9f35b0d1c9f81f0b6c-08,03636649,190.2,46.3
lamp_13c361b7b046fe9f35b0d1c9f81f0b6c-09,03636649,57.3,-15.9
lamp_13d5888a6598745f82bfcd34215ccfc7-00,03636649,288.4,28.7
lamp_13d5888a6598745f82bfcd34215ccfc7-01,03636649,260.4,34.1
lamp_13d5888a6598745f82bfcd34215ccfc7-02,03636649,58.9,-11.9
lamp_13d5888a6598745f82bfcd34215ccfc7-03,03636649,217.4,9.8
lamp_13d5888a6598745f82bfcd34215ccfc7-04,03636649,275.7,-11.3
lamp_13d5888a6598745f82bfcd34215ccfc7-05,03636649,232.4,-14.6
lamp_13d5888a6598745f82bfcd34215ccfc7-06,03636649,224.9,-14.3
lamp_13d5888a6598745f82bfcd34215ccfc7-07,03636649,144.7,47.9
lamp_13d5888a6598745f82bfcd34215ccfc7-08,03636649,279.5,20.3
lamp_13d5888a6598745f82bfcd34215ccfc7-09,03636649,65.1,30.2
lamp_13daa0657f5c3e32cb0c0d433974e32b-00,03636649,81.9,14.8
lamp_13daa0657f5c3e32cb0c0d433974e32b-01,03636649,100.8,11.7
lamp_13daa0657f5c3e32cb0c0d433974e32b-02,03636649,291.4,33.5
lamp_13daa0657f5c3e32cb0c0d433974e32b-03,03636649,144.9,22.4
lamp_13daa0657f5c3e32cb0c0d433974e32b-04,03636649,188.8,42.7
lamp_13daa0657f5c3e32cb0c0d433974e32b-05,03636649,136.0,-7.9
lamp_13daa0657f5c3e32cb0c0d433974e32b-06,03636649,205.8,27.5
lamp_13daa0657f5c3e32cb0c0d433974e32b-07,03636649,239.5,34.3
lamp_13daa0657f5c3e32cb0c0d433974e32b-08,03636649,354.5,-3.8
lamp_13daa0657f5c3e32cb0c0d433974e32b-09,03636649,205.8,9.0
lamp_13e4f5f06cb42211fcb8d8c6d4df8143-00,03636649,228.1,38.3
lamp_13e4f5f06cb42211fcb8d8c6d4df8143-01,03636649,98.0,-0.2
lamp_13e4f5f06cb42211fcb8d8c6d4df8143-02,03636649,80.7,-4.3
lamp_13e4f5f06cb42211fcb8d8c6d4df8143-03,03636649,26.9,14.7
lamp_13e4f5f06cb42211fcb8d8c6d4df8143-04,03636649,15.5,6.7
lamp_13e4f5f06cb42211fcb8d8c6d4df8143-05,03636649,340.8,41.2
lamp_13e4f5f06cb42211fcb8d8c6d4df8143-06,03636649,54.1,-18.8
lamp_13e4f5f06cb42211fcb8d8c6d4df8143-07,03636649,114.8,13.2
lamp_13e4f5f06cb42211fcb8d8c6d4df8143-08,03636649,136.0,22.5
lamp_13e4f5f06cb42211fcb8d8c6d4df8143-09,03636649,241.2,-5.6
lamp_13ec444752bd414bb01c58badc8bbc39-00,03636649,214.6,-0.3
lamp_13ec444752bd414bb01c58badc8bbc39-01,03636649,33.3,-18.8
lamp_13ec444752bd414bb01c58badc8bbc39-02,03636649,51.9,-14.6
lamp_13ec444752bd414bb01c58badc8bbc39-03,03636649,276.5,49.4
lamp_13ec444752bd414bb01c58badc8bbc39-04,03636649,142.7,5.2
lamp_13ec444752bd414bb01c58badc8bbc39-05,03636649,53.1,28.8
lamp_13ec444752bd414bb01c58badc8bbc39-06,03636649,227.6,-6.5
lamp_13ec444752bd414bb01c58badc8bbc39-07,03636649,262.7,39.7
lamp_13ec444752bd414bb01c58badc8bbc39-08,03636649,289.6,-14.6
lamp_13ec444752bd414bb01c58badc8bbc39-09,03636649,161.5,38.5
lamp_13f46d5ae3e33651efd0188089894554-00,03636649,239.0,26.6
lamp_13f46d5ae3e33651efd0188089894554-01,03636649,127.4,19.8
lamp_13f46d5ae3e33651efd0188089894554-02,03636649,34.7,-5.6
lamp_13f46d5ae3e33651efd0188089894554-03,03636649,225.6,18.7
lamp_13f46d5ae3e33651efd0188089894554-04,03636649,78.8,24.0
lamp_13f46d5ae3e33651efd0188089894554-05,03636649,219.5,29.5
lamp_13f46d5ae3e33651efd0188089894554-06,03636649,220.1,30.2
lamp_13f46d5ae3e33651efd0188089894554-07,03636649,106.5,46.9
lamp_13f46d5ae3e33651efd0188089894554-08,03636649,5.0,27.2
lamp_13f46d5ae3e33651efd0188089894554-09,03636649,288.3,-1.6
lamp_14656fe47266b0eb88e7662971dc736f-00,03636649,81.8,-7.2
lamp_14656fe47266b0eb88e7662971dc736f-01,03636649,22.7,-6.3
lamp_14656fe47266b0eb88e7662971dc736f-02,03636649,24.4,42.4
lamp_14656fe47266b0eb88e7662971dc736f-03,03636649,47.3,39.4
lamp_14656fe47266b0eb88e7662971dc736f-04,03636649,227.7,22.1
lamp_14656fe47266b0eb88e7662971dc736f-05,03636649,90.1,-8.6
lamp_14656fe47266b0eb88e7662971dc736f-06,03636649,212.2,-1.4
lamp_14656fe47266b0eb88e7662971dc736f-07,03636649,110.1,15.8
lamp_14656fe47266b0eb88e7662971dc736f-08,03636649,180.0,8.8
lamp_14656fe47266b0eb88e7662971dc736f-09,03636649,72.7,13.6
lamp_1475fe59961fc726f096eadaad23f93d-00,03636649,35.4,10.7
lamp_1475fe59961fc726f096eadaad23f93d-01,03636649,355.6,39.2
lamp_1475fe59961fc726f096eadaad23f93d-02,03636649,175.2,11.0
lamp_1475fe59961fc726f096eadaad23f93d-03,03636649,14.4,-7.6
lamp_1475fe59961fc726f096eadaad23f93d-04,03636649,266.9,-19.2
lamp_1475fe59961fc726f096eadaad23f93d-05,03636649,157.7,34.8
lamp_1475fe59961fc726f096eadaad23f93d-06,03636649,311.5,-6.9
lamp_1475fe59961fc726f096eadaad23f93d-07,03636649,104.0,45.6
lamp_1475fe59961fc726f096eadaad23f93d-08,03636649,79.5,-6.8
lamp_1475fe59961fc726f096eadaad23f93d-09,03636649,170.3,33.5
lamp_1499133658ea746d713f2e93cbeac35d-00,03636649,117.2,-1.5
lamp_1499133658ea746d713f2e93cbeac35d-01,03636649,96.0,39.6
lamp_1499133658ea746d713f2e93cbeac35d-02,03636649,245.3,-7.0
lamp_1499133658ea746d713f2e93cbeac35d-03,03636649,180.7,-8.9
lamp_1499133658ea746d713f2e93cbeac35d-04,03636649,124.4,35.9
lamp_1499133658ea746d713f2e93cbeac35d-05,03636649,279.2,15.9
lamp_1499133658ea746d713f2e93cbeac35d-06,03636649,311.2,-11.3
lamp_1499133658ea746d713f2e93cbeac35d-07,03636649,68.2,14.3
lamp_1499133658ea746d713f2e93cbeac35d-08,03636649,98.4,-16.8
lamp_1499133658ea746d713f2e93cbeac35d-09,03636649,15.8,-4.1
lamp_14c84c76c927fb282cd2160e449d45ae-00,03636649,242.4,25.5
lamp_14c84c76c927fb282cd2160e449d45ae-01,03636649,153.1,7.2
